timestamp,open (CNY),high (CNY),low (CNY),close (CNY),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2020-12-07,125238.97969800,125641.63515400,122290.29187200,123998.34286000,19358.67000000,19420.91000000,18902.88000000,19166.90000000,41372.29629300,41372.29629300
2020-12-06,123873.87160400,125635.74800000,121993.47580000,125243.70236000,19147.66000000,19420.00000000,18857.00000000,19359.40000000,37043.09186100,37043.09186100
2020-12-05,120657.60939400,124063.68380000,119683.90000000,123873.87160400,18650.51000000,19177.00000000,18500.00000000,19147.66000000,42922.74857300,42922.74857300
2020-12-04,125650.88639600,126327.97380000,120106.41651400,120657.67408800,19422.34000000,19527.00000000,18565.31000000,18650.52000000,71283.66820000,71283.66820000
2020-12-03,124238.87515200,126787.30120000,122059.46368000,125648.03986000,19204.08000000,19598.00000000,18867.20000000,19421.90000000,66689.39127900,66689.39127900
2020-12-02,121398.03222400,125131.13480000,118584.10200000,124238.93984600,18764.96000000,19342.00000000,18330.00000000,19204.09000000,75911.01347800,75911.01347800
2020-12-01,127420.46137800,128663.42720000,116456.44572800,121398.03222400,19695.87000000,19888.00000000,18001.12000000,18764.96000000,127698.76265200,127698.76265200
2020-11-30,117646.03900000,128502.72730400,117645.97430600,127420.46137800,18185.00000000,19863.16000000,18184.99000000,19695.87000000,115463.46688800,115463.46688800
2020-11-29,114636.73289600,118778.50747000,113324.47980000,117645.97430600,17719.84000000,18360.05000000,17517.00000000,18184.99000000,55329.01630300,55329.01630300
2020-11-28,110882.47538200,115676.04200600,109110.05386400,114636.79759000,17139.53000000,17880.49000000,16865.56000000,17719.85000000,64910.69997000,64910.69997000
2020-11-27,110946.78121800,112940.32682800,106344.51475200,110882.41068800,17149.47000000,17457.62000000,16438.08000000,17139.52000000,85297.02478700,85297.02478700
2020-11-26,121099.59880200,122368.89508200,104726.64720000,110946.78121800,18718.83000000,18915.03000000,16188.00000000,17149.47000000,181005.24669300,181005.24669300
2020-11-25,123953.70400000,126051.14817400,119685.64673800,121101.41023400,19160.00000000,19484.21000000,18500.27000000,18719.11000000,93266.57688700,93266.57688700
2020-11-24,118830.00389400,125629.08451800,116565.64920000,123953.76869400,18368.01000000,19418.97000000,18018.00000000,19160.01000000,113581.50924100,113581.50924100
2020-11-23,119126.75527200,121404.76040000,116449.20000000,118829.93920000,18413.88000000,18766.00000000,18000.00000000,18368.00000000,82961.50609300,82961.50609300
2020-11-22,121002.36372000,121301.25000000,113931.69768400,119130.31344200,18703.80000000,18750.00000000,17610.86000000,18414.43000000,81645.73777800,81645.73777800
2020-11-21,120690.92680400,122697.99346000,118445.52745200,121002.36372000,18655.66000000,18965.90000000,18308.58000000,18703.80000000,75577.45839400,75577.45839400
2020-11-20,115173.49901400,121723.18426800,114767.41477600,120690.99149800,17802.81000000,18815.22000000,17740.04000000,18655.67000000,88423.01848900,88423.01848900
2020-11-19,115011.37585000,117612.39812000,112151.25411000,115173.56370800,17777.75000000,18179.80000000,17335.65000000,17802.82000000,93009.56100800,93009.56100800
2020-11-18,114245.59297200,119534.65094200,111367.16283000,115000.83072800,17659.38000000,18476.93000000,17214.45000000,17776.12000000,149019.78813400,149019.78813400
2020-11-17,108123.59975200,115535.85010800,106990.93720000,114245.59297200,16713.08000000,17858.82000000,16538.00000000,17659.38000000,115221.40310200,115221.40310200
2020-11-16,103232.21580000,109203.47200000,102630.56160000,108126.76975800,15957.00000000,16880.00000000,15864.00000000,16713.57000000,81300.67592400,81300.67592400
2020-11-15,103960.41146400,104674.89200000,102052.97356800,103232.21580000,16069.56000000,16180.00000000,15774.72000000,15957.00000000,43596.84151300,43596.84151300
2020-11-14,105580.86677600,105625.82910600,101375.49800000,103966.16923000,16320.04000000,16326.99000000,15670.00000000,16070.45000000,59116.34717900,59116.34717900
2020-11-13,105398.49439000,106615.71200000,103202.13309000,105585.13658000,16291.85000000,16480.00000000,15952.35000000,16320.70000000,75691.88101400,75691.88101400
2020-11-12,101467.68695000,105714.52458000,99891.67641600,105398.55908400,15684.25000000,16340.70000000,15440.64000000,16291.86000000,102196.35659200,102196.35659200
2020-11-11,98963.77037400,103283.97100000,98805.07599200,101467.62225600,15297.21000000,15965.00000000,15272.68000000,15684.24000000,78469.74645800,78469.74645800
2020-11-10,99165.61565400,100016.92400000,97509.77272400,98963.77037400,15328.41000000,15460.00000000,15072.46000000,15297.21000000,61681.91960600,61681.91960600
2020-11-09,100114.61194000,102475.29600000,95782.96047600,99165.61565400,15475.10000000,15840.00000000,14805.54000000,15328.41000000,108976.33413400,108976.33413400
2020-11-08,95865.51002000,101246.11000000,95125.28127200,100114.61194000,14818.30000000,15650.00000000,14703.88000000,15475.10000000,65547.17857400,65547.17857400
2020-11-07,100792.79914200,101915.82228800,92798.49686800,95865.51002000,15579.93000000,15753.52000000,14344.22000000,14818.30000000,101431.20655300,101431.20655300
2020-11-06,100858.07538800,103251.62400000,98114.92040000,100792.73444800,15590.02000000,15960.00000000,15166.00000000,15579.92000000,122618.19769500,122618.19769500
2020-11-05,91503.25829400,101893.05000000,91176.87706400,100858.07538800,14144.01000000,15750.00000000,14093.56000000,15590.02000000,143741.52267300,143741.52267300
2020-11-04,90723.82498200,92247.17460000,87498.63500000,91503.25829400,14023.53000000,14259.00000000,13525.00000000,14144.01000000,93016.98826200,93016.98826200
2020-11-03,87657.97632200,90999.29203400,85945.91430600,90723.82498200,13549.63000000,14066.11000000,13284.99000000,14023.53000000,74115.63078700,74115.63078700
2020-11-02,89028.58340600,89471.80200000,85364.05647000,87656.29427800,13761.49000000,13830.00000000,13195.05000000,13549.37000000,64566.42190800,64566.42190800
2020-11-01,89219.49540000,89892.31300000,88003.24820000,89028.64810000,13791.00000000,13895.00000000,13603.00000000,13761.50000000,36285.64852600,36285.64852600
2020-10-31,87725.71094000,91218.54000000,86764.35810000,89219.49540000,13560.10000000,14100.00000000,13411.50000000,13791.00000000,67339.23851500,67339.23851500
2020-10-30,87050.24088600,88436.56861200,84846.18100000,87725.71094000,13455.69000000,13669.98000000,13115.00000000,13560.10000000,70657.77888100,70657.77888100
2020-10-29,85825.64816000,88261.44195400,83589.62943800,87050.30558000,13266.40000000,13642.91000000,12920.77000000,13455.70000000,74872.60213200,74872.60213200
2020-10-28,88217.77350400,89662.51991200,83377.62720000,85825.64816000,13636.16000000,13859.48000000,12888.00000000,13266.40000000,94440.56122600,94440.56122600
2020-10-27,84439.57921000,89208.43272600,84230.74697800,88217.83819800,13052.15000000,13789.29000000,13019.87000000,13636.17000000,80796.55399600,80796.55399600
2020-10-26,84293.95301600,85647.15741400,82581.89100000,84439.83798600,13029.64000000,13238.81000000,12765.00000000,13052.19000000,60951.67298600,60951.67298600
2020-10-25,84825.02606200,86366.49000000,83377.62720000,84288.71280200,13111.73000000,13350.00000000,12888.00000000,13028.83000000,38481.57950400,38481.57950400
2020-10-24,83604.44436400,85180.84306200,83261.17800000,84825.02606200,12923.06000000,13166.73000000,12870.00000000,13111.73000000,35952.20907000,35952.20907000
2020-10-23,83900.61349600,84281.33768600,82291.28555200,83604.50905800,12968.84000000,13027.69000000,12720.08000000,12923.07000000,50386.99984100,50386.99984100
2020-10-22,82683.78405000,85299.03900000,82019.57075200,83898.54328800,12780.75000000,13185.00000000,12678.08000000,12968.52000000,70038.82414400,70038.82414400
2020-10-21,77050.55400000,85510.45899200,76901.43433000,82685.14262400,11910.00000000,13217.68000000,11886.95000000,12780.96000000,114584.45676700,114584.45676700
2020-10-20,76024.89532400,77881.09557200,75547.00074600,77050.48930600,11751.46000000,12038.38000000,11677.59000000,11909.99000000,62134.75066300,62134.75066300
2020-10-19,74418.41391600,76494.12090600,73802.65642400,76024.96001800,11503.14000000,11823.99000000,11407.96000000,11751.47000000,47414.53469200,47414.53469200
2020-10-18,73494.38951400,74430.44700000,73403.23566800,74418.41391600,11360.31000000,11505.00000000,11346.22000000,11503.14000000,23284.04119100,23284.04119100
2020-10-17,73228.69125600,73766.81594800,72813.09700000,73493.67788000,11319.24000000,11402.42000000,11255.00000000,11360.20000000,22368.91524100,22368.91524100
2020-10-16,74431.28802200,74664.31581000,72457.28000000,73229.20880800,11505.13000000,11541.15000000,11200.00000000,11319.32000000,48797.74950200,48797.74950200
2020-10-15,73866.89756600,75157.21939600,72786.11960200,74431.22332800,11417.89000000,11617.34000000,11250.83000000,11505.12000000,48760.71767900,48760.71767900
2020-10-14,73884.23555800,74708.50181200,72974.83200000,73866.89756600,11420.57000000,11547.98000000,11280.00000000,11417.89000000,41415.10601500,41415.10601500
2020-10-13,74580.79585600,74766.85580000,73104.22000000,73884.17086400,11528.24000000,11557.00000000,11300.00000000,11420.56000000,42205.28370900,42205.28370900
2020-10-12,73550.73798800,75821.43269400,72276.13680000,74580.86055000,11369.02000000,11720.01000000,11172.00000000,11528.25000000,52825.28371000,52825.28371000
2020-10-11,73060.35746800,74042.28300000,72593.13740000,73550.73798800,11293.22000000,11445.00000000,11221.00000000,11369.02000000,29043.85133900,29043.85133900
2020-10-10,71491.01041600,74339.87540000,71490.16939400,73060.35746800,11050.64000000,11491.00000000,11050.51000000,11293.22000000,43648.03694300,43648.03694300
2020-10-09,70681.04153600,71840.35801600,70057.13260000,71491.01041600,10925.44000000,11104.64000000,10829.00000000,11050.64000000,48240.07323700,48240.07323700
2020-10-08,69005.20816000,70839.93000000,68125.43445400,70681.88255800,10666.40000000,10950.00000000,10530.41000000,10925.57000000,51959.69157200,51959.69157200
2020-10-07,68573.37571000,69105.28977800,68227.39219800,69005.14346600,10599.65000000,10681.87000000,10546.17000000,10666.39000000,32811.99027900,32811.99027900
2020-10-06,69819.05868000,69869.52000000,68090.43500000,68573.44040400,10792.20000000,10800.00000000,10525.00000000,10599.66000000,48674.74047100,48674.74047100
2020-10-05,69006.63142800,69856.58120000,68676.82141600,69819.12337400,10666.62000000,10798.00000000,10615.64000000,10792.21000000,34025.76165300,34025.76165300
2020-10-04,68200.86765800,69202.33077800,68044.30817800,69006.69612200,10542.07000000,10696.87000000,10517.87000000,10666.63000000,23212.00159500,23212.00159500
2020-10-03,68384.14576000,68598.67106400,67905.79832400,68200.80296400,10570.40000000,10603.56000000,10496.46000000,10542.06000000,22298.22134100,22298.22134100
2020-10-02,68699.39962200,68993.82201600,67113.55560000,68384.14576000,10619.13000000,10664.64000000,10374.00000000,10570.40000000,50130.39370500,50130.39370500
2020-10-01,69718.07134600,70645.84800000,67521.12780000,68699.39962200,10776.59000000,10920.00000000,10437.00000000,10619.13000000,60866.33289300,60866.33289300
2020-09-30,70132.04825200,70188.72019600,68996.99202200,69718.07134600,10840.58000000,10849.34000000,10665.13000000,10776.59000000,39596.02732200,39596.02732200
2020-09-29,69197.41403400,70306.46327600,68807.69737800,70131.40131200,10696.11000000,10867.54000000,10635.87000000,10840.48000000,41874.89839900,41874.89839900
2020-09-28,69702.99764400,70839.93000000,68743.84440000,69197.47872800,10774.26000000,10950.00000000,10626.00000000,10696.12000000,50095.25173400,50095.25173400
2020-09-27,69407.54014600,69863.05060000,68542.12850800,69702.93295000,10728.59000000,10799.00000000,10594.82000000,10774.25000000,30549.48325300,30549.48325300
2020-09-26,69135.69595800,70004.98923600,68864.69279200,69407.60484000,10686.57000000,10820.94000000,10644.68000000,10728.60000000,28420.83665900,28420.83665900
2020-09-25,69457.61330200,69614.17278200,68292.53905600,69136.34289800,10736.33000000,10760.53000000,10556.24000000,10686.67000000,48101.11700800,48101.11700800
2020-09-24,66256.10132400,69838.72565600,65929.20254200,69457.54860800,10241.46000000,10795.24000000,10190.93000000,10736.32000000,57676.61942700,57676.61942700
2020-09-23,68120.25893400,68169.03821000,65579.14330800,66256.10132400,10529.61000000,10537.15000000,10136.82000000,10241.46000000,51876.56807900,51876.56807900
